Datetime,Open,High,Low,Close,Volume
2024-09-13 09:30:00-04:00,559.710021972656,559.789978027344,559.450012207031,559.669982910156,1134100
2024-09-13 09:31:00-04:00,559.559997558594,559.890014648438,559.549987792969,559.679992675781,484876
2024-09-13 09:32:00-04:00,559.690002441406,560.239990234375,559.690002441406,560.041320800781,224150
2024-09-13 09:33:00-04:00,560.049987792969,560.289184570313,560.010009765625,560.260009765625,116842
2024-09-13 09:34:00-04:00,560.280029296875,560.359985351563,560.190002441406,560.310119628906,189739
2024-09-13 09:35:00-04:00,560.320007324219,560.559997558594,560.260009765625,560.423217773438,182545
2024-09-13 09:36:00-04:00,560.409973144531,560.510009765625,560.240112304688,560.255004882813,98241
2024-09-13 09:37:00-04:00,560.27001953125,560.609985351563,560.196899414063,560.549987792969,158427
2024-09-13 09:38:00-04:00,560.560485839844,560.569885253906,560.309997558594,560.390014648438,84527
2024-09-13 09:39:00-04:00,560.409973144531,560.590026855469,560.359985351563,560.359985351563,87326
2024-09-13 09:40:00-04:00,560.369873046875,560.52001953125,560.260009765625,560.471130371094,109912
2024-09-13 09:41:00-04:00,560.469970703125,560.469970703125,560.190002441406,560.419982910156,81207
2024-09-13 09:42:00-04:00,560.409973144531,560.479919433594,560.340209960938,560.405029296875,50418
2024-09-13 09:43:00-04:00,560.405029296875,560.679992675781,560.320007324219,560.619995117188,86551
2024-09-13 09:44:00-04:00,560.830017089844,560.869995117188,560.599975585938,560.830017089844,82784
2024-09-13 09:45:00-04:00,560.830017089844,560.929992675781,560.599975585938,560.72998046875,148248
2024-09-13 09:46:00-04:00,560.75048828125,560.97998046875,560.749877929688,560.859985351563,99098
2024-09-13 09:47:00-04:00,560.869995117188,561.159912109375,560.840026855469,561.130004882813,98246
2024-09-13 09:48:00-04:00,561.130004882813,561.25,561.0244140625,561.239990234375,143537
2024-09-13 09:49:00-04:00,561.239990234375,561.280029296875,561.109985351563,561.119995117188,92124
2024-09-13 09:50:00-04:00,561.119995117188,561.200012207031,561.02001953125,561.109985351563,102028
2024-09-13 09:51:00-04:00,561.099975585938,561.201721191406,561.080017089844,561.164978027344,53841
2024-09-13 09:52:00-04:00,561.164978027344,561.179992675781,561.099975585938,561.099975585938,56410
2024-09-13 09:53:00-04:00,561.090026855469,561.159973144531,560.909973144531,561.043029785156,87521
2024-09-13 09:54:00-04:00,561.049987792969,561.119995117188,560.97998046875,560.994995117188,75156
2024-09-13 09:55:00-04:00,560.994995117188,561.090026855469,560.799987792969,561.070007324219,113520
2024-09-13 09:56:00-04:00,561.080017089844,561.159973144531,560.880004882813,561.159973144531,86849
2024-09-13 09:57:00-04:00,561.159973144531,561.159973144531,560.890014648438,561.030029296875,45302
2024-09-13 09:58:00-04:00,561.02001953125,561.159973144531,560.989990234375,561.150024414063,57213
2024-09-13 09:59:00-04:00,561.140014648438,561.140014648438,560.909973144531,560.930114746094,49955
2024-09-13 10:00:00-04:00,560.989990234375,561.799987792969,559.929992675781,560.859985351563,486443
